;Sentiment;Text Tweet;step01;tokens;final_tokens;step02
10;negative;film jelek, jelas. Ga ada isinya. ;film jelek jelas ga ada isinya;['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya'];film jelek jelas ga ada isinya
11;negative;awal bulan ini nonton dua film Indonesia di bioskop: kartini dan critical eleven. penggambaran kartini dan ale juga anya terlalu lemah. :( ;awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah;['awal', 'bulan', 'ini', 'nonton', 'dua', 'film', 'indonesia', 'di', 'bioskop', 'kartini', 'dan', 'critical', 'eleven', 'penggambaran', 'kartini', 'dan', 'ale', 'juga', 'anya', 'terlalu', 'lemah'];['awal', 'bulan', 'ini', 'nonton', 'dua', 'film', 'indonesia', 'di', 'bioskop', 'kartini', 'dan', 'critical', 'eleven', 'penggambaran', 'kartini', 'dan', 'ale', 'juga', 'anya', 'terlalu', 'lemah'];awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah
12;negative;Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi;nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis;['nonton', 'film', 'miris', 'ternyata', 'di', 'jaman', 'itu', 'dan', 'jaman', 'sekarang', 'bangsa', 'kita', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis'];['nonton', 'film', 'miris', 'ternyata', 'di', 'jaman', 'itu', 'dan', 'jaman', 'sekarang', 'bangsa', 'kita', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis'];nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis
13;negative;Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol;btw danur jelek banget gausah ditonton hans hansdavidian gue kebayang lo bakal soal film ini ntar lol;['btw', 'danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'hansdavidian', 'gue', 'kebayang', 'lo', 'bakal', 'soal', 'film', 'ini', 'ntar', 'lol'];['btw', 'danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'hansdavidian', 'gue', 'kebayang', 'lo', 'bakal', 'soal', 'film', 'ini', 'ntar', 'lol'];btw danur jelek banget gausah ditonton hans hansdavidian gue kebayang lo bakal soal film ini ntar lol
14;negative;Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.;film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny;['film', 'kartini', 'trlalu', 'singkat', 'sehingga', 'penonton', 'yg', 'mungkin', 'blm', 'baca', 'biografi', 'jelas', 'ttg', 'kartini', 'agak', 'bingung', 'saya', 'sndiri', 'emg', 'blm', 'baca', 'bukuny'];['film', 'kartini', 'trlalu', 'singkat', 'sehingga', 'penonton', 'yg', 'mungkin', 'blm', 'baca', 'biografi', 'jelas', 'ttg', 'kartini', 'agak', 'bingung', 'saya', 'sndiri', 'emg', 'blm', 'baca', 'bukuny'];film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny
15;negative;Habis nonton the guys, entah kenapa aku sedikit kecewa nonton film ini.. Dibanding film sebelumnya kok ini anjlok ya;habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya;['habis', 'nonton', 'the', 'guys', 'entah', 'kenapa', 'aku', 'sedikit', 'kecewa', 'nonton', 'film', 'ini', 'dibanding', 'film', 'sebelumnya', 'kok', 'ini', 'anjlok', 'ya'];['habis', 'nonton', 'the', 'guys', 'entah', 'kenapa', 'aku', 'sedikit', 'kecewa', 'nonton', 'film', 'ini', 'dibanding', 'film', 'sebelumnya', 'kok', 'ini', 'anjlok', 'ya'];habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya
16;negative;Yang udah nonton film Alien kok pada kecewa ya. Jadi ragu buat nonton.;yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton;['yang', 'udah', 'nonton', 'film', 'alien', 'kok', 'pada', 'kecewa', 'ya', 'jadi', 'ragu', 'buat', 'nonton'];['yang', 'udah', 'nonton', 'film', 'alien', 'kok', 'pada', 'kecewa', 'ya', 'jadi', 'ragu', 'buat', 'nonton'];yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton
17;negative;satu-satunya kerugian nonton film action itu.. aktornya jadi keliatan jelek :p;satu satunya kerugian nonton film action itu aktornya jadi keliatan jelek;['satu', 'satunya', 'kerugian', 'nonton', 'film', 'action', 'itu', 'aktornya', 'jadi', 'keliatan', 'jelek'];['satu', 'satunya', 'kerugian', 'nonton', 'film', 'action', 'itu', 'aktornya', 'jadi', 'keliatan', 'jelek'];satu satunya kerugian nonton film action itu aktornya jadi keliatan jelek
18;negative;Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.;ini film yang bilang bagus kelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek;['ini', 'film', 'yang', 'bilang', 'bagus', 'kelompoknya', 'doang', 'yang', 'kasih', 'penghargaan', 'juga', 'dia', 'aj', 'waktu', 'nonton', 'ternyata', 'jelek'];['ini', 'film', 'yang', 'bilang', 'bagus', 'kelompoknya', 'doang', 'yang', 'kasih', 'penghargaan', 'juga', 'dia', 'aj', 'waktu', 'nonton', 'ternyata', 'jelek'];ini film yang bilang bagus kelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek
19;negative;baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.;baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek;['baik', 'kita', 'sudahi', 'saja', 'hidup', 'terlalu', 'singkat', 'untuk', 'dihabisken', 'dengan', 'menonton', 'film', 'jelek'];['baik', 'kita', 'sudahi', 'saja', 'hidup', 'terlalu', 'singkat', 'untuk', 'dihabisken', 'dengan', 'menonton', 'film', 'jelek'];baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek
20;negative;Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.;film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan;['film', 'king', 'arthur', 'itu', 'tidak', 'jelek', 'namun', 'juga', 'tidak', 'bagus', 'biasa', 'saja', 'cenderung', 'mudah', 'dilupakan'];['film', 'king', 'arthur', 'itu', 'tidak', 'jelek', 'namun', 'juga', 'tidak', 'bagus', 'biasa', 'saja', 'cenderung', 'mudah', 'dilupakan'];film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan
21;negative;Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga ;jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga;['jelek', 'ah', 'jelek', 'pantas', 'film', 'dimension', 'tidak', 'pernah', 'dirilis', 'akting', 'kamu', 'begini', 'ternyata', 'ga'];['jelek', 'ah', 'jelek', 'pantas', 'film', 'dimension', 'tidak', 'pernah', 'dirilis', 'akting', 'kamu', 'begini', 'ternyata', 'ga'];jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga
22;negative;duh ini film ribet banget ...;duh ini film ribet banget;['duh', 'ini', 'film', 'ribet', 'banget'];['duh', 'ini', 'film', 'ribet', 'banget'];duh ini film ribet banget
23;negative;Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?;dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih;['dgn', 'durasi', 'film', 'yg', 'tll', 'panjang', 'alur', 'yg', 'datar', 'akhirnya', 'stlh', 'selesai', 'sy', 'keluar', 'dgn', 'pertanyaan', 'ini', 'masalahnya', 'apa', 'sih'];['dgn', 'durasi', 'film', 'yg', 'tll', 'panjang', 'alur', 'yg', 'datar', 'akhirnya', 'stlh', 'selesai', 'sy', 'keluar', 'dgn', 'pertanyaan', 'ini', 'masalahnya', 'apa', 'sih'];dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih
24;negative;Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ;banyak adegan penting yang di potong jadinya merusak film itu sendiri;['banyak', 'adegan', 'penting', 'yang', 'di', 'potong', 'jadinya', 'merusak', 'film', 'itu', 'sendiri'];['banyak', 'adegan', 'penting', 'yang', 'di', 'potong', 'jadinya', 'merusak', 'film', 'itu', 'sendiri'];banyak adegan penting yang di potong jadinya merusak film itu sendiri
25;negative;baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.;baru selesai nonton film goal   ternyata penurunan kualitas film nya drastis parah;['baru', 'selesai', 'nonton', 'film', 'goal', 'ternyata', 'penurunan', 'kualitas', 'film', 'nya', 'drastis', 'parah'];['baru', 'selesai', 'nonton', 'film', 'goal', 'ternyata', 'penurunan', 'kualitas', 'film', 'nya', 'drastis', 'parah'];baru selesai nonton film goal ternyata penurunan kualitas film nya drastis parah
26;negative;Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter;baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter;['baru', 'keingat', 'film', 'yang', 'cukup', 'beda', 'dengan', 'buku', 'sampai', 'bikin', 'kecewa', 'teman', 'yang', 'ngajak', 'nonton', 'black', 'bulter'];['baru', 'keingat', 'film', 'yang', 'cukup', 'beda', 'dengan', 'buku', 'sampai', 'bikin', 'kecewa', 'teman', 'yang', 'ngajak', 'nonton', 'black', 'bulter'];baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter
27;negative;ogah nonton lagi saya. Kecewa ama itu film ;ogah nonton lagi saya kecewa ama itu film;['ogah', 'nonton', 'lagi', 'saya', 'kecewa', 'ama', 'itu', 'film'];['ogah', 'nonton', 'lagi', 'saya', 'kecewa', 'ama', 'itu', 'film'];ogah nonton lagi saya kecewa ama itu film
28;negative;Kecewa berat sama film Power Rangers, dibawah ekspektasi banget ;kecewa berat sama film power rangers dibawah ekspektasi banget;['kecewa', 'berat', 'sama', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget'];['kecewa', 'berat', 'sama', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget'];kecewa berat sama film power rangers dibawah ekspektasi banget
29;negative;Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;['bahas', 'soal', 'film', 'yang', 'diangkat', 'dari', 'novel', 'rasanya', 'kalo', 'di', 'bikin', 'film', 'kurang', 'puas', 'aja', 'gitu'];['bahas', 'soal', 'film', 'yang', 'diangkat', 'dari', 'novel', 'rasanya', 'kalo', 'di', 'bikin', 'film', 'kurang', 'puas', 'aja', 'gitu'];bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu
30;negative;Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.;sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat;['sebenernya', 'nggak', 'ada', 'yang', 'salah', 'sama', 'akting', 'prilly', 'di', 'film', 'danur', 'menurut', 'aku', 'oke', 'oke', 'aja', 'yang', 'kurang', 'greget', 'itu', 'ceritanya', 'sih', 'kurang', 'kuat'];['sebenernya', 'nggak', 'ada', 'yang', 'salah', 'sama', 'akting', 'prilly', 'di', 'film', 'danur', 'menurut', 'aku', 'oke', 'oke', 'aja', 'yang', 'kurang', 'greget', 'itu', 'ceritanya', 'sih', 'kurang', 'kuat'];sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat
31;negative;Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.;tadi abis nonton film balap mobil itu tertidur sekitar   menit entah lelah entah bosan;['tadi', 'abis', 'nonton', 'film', 'balap', 'mobil', 'itu', 'tertidur', 'sekitar', 'menit', 'entah', 'lelah', 'entah', 'bosan'];['tadi', 'abis', 'nonton', 'film', 'balap', 'mobil', 'itu', 'tertidur', 'sekitar', 'menit', 'entah', 'lelah', 'entah', 'bosan'];tadi abis nonton film balap mobil itu tertidur sekitar menit entah lelah entah bosan
32;negative;The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy;the mummy film yg terasa mulai aneh sejak pertengahan filmnya;['the', 'mummy', 'film', 'yg', 'terasa', 'mulai', 'aneh', 'sejak', 'pertengahan', 'filmnya'];['the', 'mummy', 'film', 'yg', 'terasa', 'mulai', 'aneh', 'sejak', 'pertengahan', 'filmnya'];the mummy film yg terasa mulai aneh sejak pertengahan filmnya
33;negative;Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan.;memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada post credit scene nya kaya film yg habis saya tonton;['memang', 'malah', 'kelihatan', 'aneh', 'kalau', 'ada', 'film', 'besutan', 'marvel', 'yang', 'ga', 'ada', 'post', 'credit', 'scene', 'nya', 'kaya', 'film', 'yg', 'habis', 'saya', 'tonton'];['memang', 'malah', 'kelihatan', 'aneh', 'kalau', 'ada', 'film', 'besutan', 'marvel', 'yang', 'ga', 'ada', 'post', 'credit', 'scene', 'nya', 'kaya', 'film', 'yg', 'habis', 'saya', 'tonton'];memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada post credit scene nya kaya film yg habis saya tonton
34;negative;Film norak!!!! ;film norak;['film', 'norak'];['film', 'norak'];film norak
35;negative;adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(;adanya film critical eleven ini jadi merusak image ale anya di kepalaku;['adanya', 'film', 'critical', 'eleven', 'ini', 'jadi', 'merusak', 'image', 'ale', 'anya', 'di', 'kepalaku'];['adanya', 'film', 'critical', 'eleven', 'ini', 'jadi', 'merusak', 'image', 'ale', 'anya', 'di', 'kepalaku'];adanya film critical eleven ini jadi merusak image ale anya di kepalaku
36;negative;#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian;kurang suka sama film film romantis karena endingnya pasti jadian;['kurang', 'suka', 'sama', 'film', 'film', 'romantis', 'karena', 'endingnya', 'pasti', 'jadian'];['kurang', 'suka', 'sama', 'film', 'film', 'romantis', 'karena', 'endingnya', 'pasti', 'jadian'];kurang suka sama film film romantis karena endingnya pasti jadian
37;negative;Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual;dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual;['dibalik', 'novel', 'yang', 'diangkat', 'jadi', 'film', 'terus', 'jadinya', 'kurang', 'sesungguhny', 'ada', 'campur', 'tangan', 'produser', 'yang', 'sok', 'tau', 'dengan', 'embel', 'lebih', 'menjual'];['dibalik', 'novel', 'yang', 'diangkat', 'jadi', 'film', 'terus', 'jadinya', 'kurang', 'sesungguhny', 'ada', 'campur', 'tangan', 'produser', 'yang', 'sok', 'tau', 'dengan', 'embel', 'lebih', 'menjual'];dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual
38;negative;karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! ;karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu;['karena', 'ga', 'respect', 'kelakuan', 'si', 'dian', 'sastro', 'film', 'itu', 'jadi', 'hambar', 'ga', 'bermutu'];['karena', 'ga', 'respect', 'kelakuan', 'si', 'dian', 'sastro', 'film', 'itu', 'jadi', 'hambar', 'ga', 'bermutu'];karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu
39;negative;sebnarnya ini film lumyan bgus..sayangnya aktor n aktrisnya dari rusia jadi filmnya trsa hambar;sebnarnya ini film lumyan bgus sayangnya aktor aktrisnya dari rusia jadi filmnya trsa hambar;['sebnarnya', 'ini', 'film', 'lumyan', 'bgus', 'sayangnya', 'aktor', 'aktrisnya', 'dari', 'rusia', 'jadi', 'filmnya', 'trsa', 'hambar'];['sebnarnya', 'ini', 'film', 'lumyan', 'bgus', 'sayangnya', 'aktor', 'aktrisnya', 'dari', 'rusia', 'jadi', 'filmnya', 'trsa', 'hambar'];sebnarnya ini film lumyan bgus sayangnya aktor aktrisnya dari rusia jadi filmnya trsa hambar
40;negative;Kalo Nolan bikin film gak ada perempuan seksi* dan bumbu percintaan selalu hambar.;kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar;['kalo', 'nolan', 'bikin', 'film', 'gak', 'ada', 'perempuan', 'seksi', 'dan', 'bumbu', 'percintaan', 'selalu', 'hambar'];['kalo', 'nolan', 'bikin', 'film', 'gak', 'ada', 'perempuan', 'seksi', 'dan', 'bumbu', 'percintaan', 'selalu', 'hambar'];kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar
41;negative;1. Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+;  insidious   meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh;['insidious', 'meski', 'creepy', 'dan', 'bagian', 'awalnya', 'bikin', 'tegang', 'bagian', 'akhir', 'film', 'ini', 'justru', 'terasa', 'agak', 'datar', 'hal', 'tersebut', 'berpengaruh'];['insidious', 'meski', 'creepy', 'dan', 'bagian', 'awalnya', 'bikin', 'tegang', 'bagian', 'akhir', 'film', 'ini', 'justru', 'terasa', 'agak', 'datar', 'hal', 'tersebut', 'berpengaruh'];insidious meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh
42;negative;Ini gue nonton film homo aja rumit bener;ini gue nonton film homo aja rumit bener;['ini', 'gue', 'nonton', 'film', 'homo', 'aja', 'rumit', 'bener'];['ini', 'gue', 'nonton', 'film', 'homo', 'aja', 'rumit', 'bener'];ini gue nonton film homo aja rumit bener
43;negative;Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget;sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget;['sayang', 'banget', 'ketika', 'ada', 'film', 'lokal', 'yang', 'bagus', 'tapi', 'budgetnya', 'kurang', 'jadi', 'layar', 'yang', 'bisa', 'di', 'tonton', 'jadi', 'terbatas', 'banget', 'sayang', 'banget'];['sayang', 'banget', 'ketika', 'ada', 'film', 'lokal', 'yang', 'bagus', 'tapi', 'budgetnya', 'kurang', 'jadi', 'layar', 'yang', 'bisa', 'di', 'tonton', 'jadi', 'terbatas', 'banget', 'sayang', 'banget'];sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget
44;negative;Film macam apa ini? Nonton nya bikin gue menderita -_-;film macam apa ini nonton nya bikin gue menderita _;['film', 'macam', 'apa', 'ini', 'nonton', 'nya', 'bikin', 'gue', 'menderita', '_'];['film', 'macam', 'apa', 'ini', 'nonton', 'nya', 'bikin', 'gue', 'menderita', '_'];film macam apa ini nonton nya bikin gue menderita _
45;negative;jadi gue nonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa menyesal...;jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal;['jadi', 'gue', 'nonton', 'the', 'mummy', 'ini', 'karena', 'seseorang', 'bilang', 'film', 'nya', 'bagus', 'tapi', 'kemudian', 'setelah', 'keluar', 'dari', 'bioskop', 'merasa', 'menyesal'];['jadi', 'gue', 'nonton', 'the', 'mummy', 'ini', 'karena', 'seseorang', 'bilang', 'film', 'nya', 'bagus', 'tapi', 'kemudian', 'setelah', 'keluar', 'dari', 'bioskop', 'merasa', 'menyesal'];jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal
46;negative;Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ;semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa fb meszilbc;['semalam', 'nonton', 'film', 'ini', 'paginya', 'ane', 'download', 'malem', 'langsung', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa', 'fb', 'meszilbc'];['semalam', 'nonton', 'film', 'ini', 'paginya', 'ane', 'download', 'malem', 'langsung', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa', 'fb', 'meszilbc'];semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa fb meszilbc
47;negative;Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.;aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius;['aku', 'takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'ga', 'sesuai', 'ekspetasi', 'ketika', 'di', 'buku', 'mikir', 'panjang', 'serius'];['aku', 'takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'ga', 'sesuai', 'ekspetasi', 'ketika', 'di', 'buku', 'mikir', 'panjang', 'serius'];aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius
