;Sentiment;Text Tweet;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
10;0;<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!;provider_name mampus repeated bulan puasa subuh2 mau sahur cek pulsa tersedot terus dan sekarang sisa number ribu provider_name tolong dibaca repeated;['provider_name', 'mampus', 'repeated', 'bulan', 'puasa', 'subuh2', 'mau', 'sahur', 'cek', 'pulsa', 'tersedot', 'terus', 'dan', 'sekarang', 'sisa', 'number', 'ribu', 'provider_name', 'tolong', 'dibaca', 'repeated'];['provider_name', 'rasakan', 'repeated', 'bulan', 'puasa', 'subuh2', 'mau', 'sahur', 'cek', 'pulsa', 'tersedot', 'terus', 'dan', 'sekarang', 'sisa', 'number', 'ribu', 'provider_name', 'tolong', 'dibaca', 'repeated'];['provider_name', 'rasakan', 'repeated', 'puasa', 'subuh2', 'sahur', 'cek', 'pulsa', 'tersedot', 'sisa', 'number', 'ribu', 'provider_name', 'tolong', 'dibaca', 'repeated'];provider_name rasakan repeated puasa subuh2 sahur cek pulsa tersedot sisa number ribu provider_name tolong dibaca repeated;provider name rasa repeated puasa subuh2 sahur cek pulsa sedot sisa number ribu provider name tolong baca repeated
11;0;<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ;user_mention pernah coba pakai provider_name tapi parah koneksinya;['user_mention', 'pernah', 'coba', 'pakai', 'provider_name', 'tapi', 'parah', 'koneksinya'];['user_mention', 'pernah', 'coba', 'pakai', 'provider_name', 'tapi', 'parah', 'koneksinya'];['user_mention', 'coba', 'pakai', 'provider_name', 'parah', 'koneksinya'];user_mention coba pakai provider_name parah koneksinya;user mention coba pakai provider name parah koneksi
12;0;Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>;setuju user_mention silahkan boikot saja pelanggan provider_name pendukung hashtag hrs hashtag allcaps url allcaps;['setuju', 'user_mention', 'silahkan', 'boikot', 'saja', 'pelanggan', 'provider_name', 'pendukung', 'hashtag', 'hrs', 'hashtag', 'allcaps', 'url', 'allcaps'];['setuju', 'user_mention', 'silahkan', 'boikot', 'saja', 'pelanggan', 'provider_name', 'pendukung', 'hashtag', 'harus', 'hashtag', 'allcaps', 'url', 'allcaps'];['setuju', 'user_mention', 'silahkan', 'boikot', 'pelanggan', 'provider_name', 'pendukung', 'hashtag', 'hashtag', 'allcaps', 'url', 'allcaps'];setuju user_mention silahkan boikot pelanggan provider_name pendukung hashtag hashtag allcaps url allcaps;tuju user mention silah boikot langgan provider name dukung hashtag hashtag allcaps url allcaps
13;0;Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>;dibela belain daftarin kartu 4 tunggu sejam siang2 sambil puasa sampai rumah sinyal 4 gnya gak ada adanya di kota provider_name;['dibela', 'belain', 'daftarin', 'kartu', '4', 'tunggu', 'sejam', 'siang2', 'sambil', 'puasa', 'sampai', 'rumah', 'sinyal', '4', 'gnya', 'gak', 'ada', 'adanya', 'di', 'kota', 'provider_name'];['dibela', 'belain', 'daftarin', 'kartu', '4', 'tunggu', 'sejam', 'siang2', 'sambil', 'puasa', 'sampai', 'rumah', 'sinyal', '4', 'gnya', 'tidak', 'ada', 'adanya', 'di', 'kota', 'provider_name'];['dibela', 'belain', 'daftarin', 'kartu', '4', 'tunggu', 'sejam', 'siang2', 'puasa', 'rumah', 'sinyal', '4', 'gnya', 'kota', 'provider_name'];dibela belain daftarin kartu 4 tunggu sejam siang2 puasa rumah sinyal 4 gnya kota provider_name;bela bain daftarin kartu 4 tunggu jam siang2 puasa rumah sinyal 4 gnya kota provider name
14;0;<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>;provider_name datanya kok sering hilang provider_name;['provider_name', 'datanya', 'kok', 'sering', 'hilang', 'provider_name'];['provider_name', 'datanya', 'kok', 'sering', 'hilang', 'provider_name'];['provider_name', 'datanya', 'hilang', 'provider_name'];provider_name datanya hilang provider_name;provider name data hilang provider name
15;0;#internetlelet  <PROVIDER_NAME> ga sesuai iklan ;hashtag internet le let hashtag provider_name ga sesuai iklan;['hashtag', 'internet', 'le', 'let', 'hashtag', 'provider_name', 'ga', 'sesuai', 'iklan'];['hashtag', 'internet', 'le', 'let', 'hashtag', 'provider_name', 'tidak', 'sesuai', 'iklan'];['hashtag', 'internet', 'le', 'let', 'hashtag', 'provider_name', 'sesuai', 'iklan'];hashtag internet le let hashtag provider_name sesuai iklan;hashtag internet le let hashtag provider name sesuai iklan
16;1;<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ;provider_name provider_name kangen nih dapat kiriman pos marchandes nya provider_name langsung dari pak pos nya;['provider_name', 'provider_name', 'kangen', 'nih', 'dapat', 'kiriman', 'pos', 'marchandes', 'nya', 'provider_name', 'langsung', 'dari', 'pak', 'pos', 'nya'];['provider_name', 'provider_name', 'kangen', 'ini', 'dapat', 'kiriman', 'pos', 'marchandes', 'nya', 'provider_name', 'langsung', 'dari', 'pak', 'pos', 'nya'];['provider_name', 'provider_name', 'kangen', 'kiriman', 'pos', 'marchandes', 'nya', 'provider_name', 'langsung', 'pos', 'nya'];provider_name provider_name kangen kiriman pos marchandes nya provider_name langsung pos nya;provider name provider name kangen kirim pos marchandes nya provider name langsung pos nya
17;0;yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>;yang katanya 1 5 0 mbps kecepatanya cuma 3 kbps kuota full ga bisa buka google udah bikin nguras uang dan baterai allcaps url allcaps;['yang', 'katanya', '1', '5', '0', 'mbps', 'kecepatanya', 'cuma', '3', 'kbps', 'kuota', 'full', 'ga', 'bisa', 'buka', 'google', 'udah', 'bikin', 'nguras', 'uang', 'dan', 'baterai', 'allcaps', 'url', 'allcaps'];['yang', 'katanya', '1', '5', '0', 'mbps', 'kecepatanya', 'cuma', '3', 'kbps', 'kuota', 'penuh', 'tidak', 'bisa', 'buka', 'google', 'sudah', 'membuat', 'nguras', 'uang', 'dan', 'baterai', 'allcaps', 'url', 'allcaps'];['1', '5', '0', 'mbps', 'kecepatanya', '3', 'kbps', 'kuota', 'penuh', 'buka', 'google', 'nguras', 'uang', 'baterai', 'allcaps', 'url', 'allcaps'];1 5 0 mbps kecepatanya 3 kbps kuota penuh buka google nguras uang baterai allcaps url allcaps;1 5 0 mbps kecepatanya 3 kbps kuota penuh buka google nguras uang baterai allcaps url allcaps
18;0;kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>;kuota hashtag internet hashtag provider_name masih banyak tapi koneksi internetnya allcaps lambat banget allcaps product_name provider_name hashtag 4 hashtag hashtag lte hashtag allcaps url allcaps;['kuota', 'hashtag', 'internet', 'hashtag', 'provider_name', 'masih', 'banyak', 'tapi', 'koneksi', 'internetnya', 'allcaps', 'lambat', 'banget', 'allcaps', 'product_name', 'provider_name', 'hashtag', '4', 'hashtag', 'hashtag', 'lte', 'hashtag', 'allcaps', 'url', 'allcaps'];['kuota', 'hashtag', 'internet', 'hashtag', 'provider_name', 'masih', 'banyak', 'tapi', 'koneksi', 'internetnya', 'allcaps', 'lambat', 'banget', 'allcaps', 'product_name', 'provider_name', 'hashtag', '4', 'hashtag', 'hashtag', 'lte', 'hashtag', 'allcaps', 'url', 'allcaps'];['kuota', 'hashtag', 'internet', 'hashtag', 'provider_name', 'koneksi', 'internetnya', 'allcaps', 'lambat', 'banget', 'allcaps', 'product_name', 'provider_name', 'hashtag', '4', 'hashtag', 'hashtag', 'lte', 'hashtag', 'allcaps', 'url', 'allcaps'];kuota hashtag internet hashtag provider_name koneksi internetnya allcaps lambat banget allcaps product_name provider_name hashtag 4 hashtag hashtag lte hashtag allcaps url allcaps;kuota hashtag internet hashtag provider name koneksi internetnya allcaps lambat banget allcaps product name provider name hashtag 4 hashtag hashtag lte hashtag allcaps url allcaps
19;0;Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>;ampun repeated sinyal 4 provider_name lemot seperti siput acara live streaming jadi terganggu mundur terus provider_name;['ampun', 'repeated', 'sinyal', '4', 'provider_name', 'lemot', 'seperti', 'siput', 'acara', 'live', 'streaming', 'jadi', 'terganggu', 'mundur', 'terus', 'provider_name'];['ampun', 'repeated', 'sinyal', '4', 'provider_name', 'lemot', 'seperti', 'siput', 'acara', 'live', 'streaming', 'jadi', 'terganggu', 'mundur', 'terus', 'provider_name'];['ampun', 'repeated', 'sinyal', '4', 'provider_name', 'lemot', 'siput', 'acara', 'live', 'streaming', 'terganggu', 'mundur', 'provider_name'];ampun repeated sinyal 4 provider_name lemot siput acara live streaming terganggu mundur provider_name;ampun repeated sinyal 4 provider name lot siput acara live streaming ganggu mundur provider name
20;0;Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>;jaringan provider_name di nabire bagus itu hanya berita allcaps hoax allcaps hashtag hoax hashtag provider_name;['jaringan', 'provider_name', 'di', 'nabire', 'bagus', 'itu', 'hanya', 'berita', 'allcaps', 'hoax', 'allcaps', 'hashtag', 'hoax', 'hashtag', 'provider_name'];['jaringan', 'provider_name', 'di', 'nabire', 'bagus', 'itu', 'hanya', 'berita', 'allcaps', 'bohong', 'allcaps', 'hashtag', 'bohong', 'hashtag', 'provider_name'];['jaringan', 'provider_name', 'nabire', 'bagus', 'berita', 'allcaps', 'bohong', 'allcaps', 'hashtag', 'bohong', 'hashtag', 'provider_name'];jaringan provider_name nabire bagus berita allcaps bohong allcaps hashtag bohong hashtag provider_name;jaring provider name nabire bagus berita allcaps bohong allcaps hashtag bohong hashtag provider name
21;0;Makin jelek jaringan di takalar <PROVIDER_NAME>;makin jelek jaringan di takalar provider_name;['makin', 'jelek', 'jaringan', 'di', 'takalar', 'provider_name'];['makin', 'jelek', 'jaringan', 'di', 'takalar', 'provider_name'];['jelek', 'jaringan', 'takalar', 'provider_name'];jelek jaringan takalar provider_name;jelek jaring takalar provider name
22;1;Jadi stabil disini. <PROVIDER_NAME> <URL>;jadi stabil disini provider_name allcaps url allcaps;['jadi', 'stabil', 'disini', 'provider_name', 'allcaps', 'url', 'allcaps'];['jadi', 'stabil', 'disini', 'provider_name', 'allcaps', 'url', 'allcaps'];['stabil', 'provider_name', 'allcaps', 'url', 'allcaps'];stabil provider_name allcaps url allcaps;stabil provider name allcaps url allcaps
23;1;#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.;hashtag cug hashtag provider_name hashtag community hashtag sangat cocok buat komunikasi antar keluarga rekan bisnis kerja sekolah kampus hubungan jarak;['hashtag', 'cug', 'hashtag', 'provider_name', 'hashtag', 'community', 'hashtag', 'sangat', 'cocok', 'buat', 'komunikasi', 'antar', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubungan', 'jarak'];['hashtag', 'cug', 'hashtag', 'provider_name', 'hashtag', 'community', 'hashtag', 'sangat', 'cocok', 'buat', 'komunikasi', 'antar', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubungan', 'jarak'];['hashtag', 'cug', 'hashtag', 'provider_name', 'hashtag', 'community', 'hashtag', 'cocok', 'komunikasi', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubungan', 'jarak'];hashtag cug hashtag provider_name hashtag community hashtag cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubungan jarak;hashtag cug hashtag provider name hashtag community hashtag cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubung jarak
24;0;<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>;provider_name provider_name ini kualitas provider provider_name gangguan trouble mahal berhari2 hashtag useless 4 hashtag allcaps url allcaps;['provider_name', 'provider_name', 'ini', 'kualitas', 'provider', 'provider_name', 'gangguan', 'trouble', 'mahal', 'berhari2', 'hashtag', 'useless', '4', 'hashtag', 'allcaps', 'url', 'allcaps'];['provider_name', 'provider_name', 'ini', 'kualitas', 'provider', 'provider_name', 'gangguan', 'trouble', 'mahal', 'berhari2', 'hashtag', 'useless', '4', 'hashtag', 'allcaps', 'url', 'allcaps'];['provider_name', 'provider_name', 'kualitas', 'provider', 'provider_name', 'gangguan', 'trouble', 'mahal', 'berhari2', 'hashtag', 'useless', '4', 'hashtag', 'allcaps', 'url', 'allcaps'];provider_name provider_name kualitas provider provider_name gangguan trouble mahal berhari2 hashtag useless 4 hashtag allcaps url allcaps;provider name provider name kualitas provider provider name ganggu trouble mahal berhari2 hashtag useless 4 hashtag allcaps url allcaps
25;0;<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...;provider_name product_name sinyalnya tai repeated;['provider_name', 'product_name', 'sinyalnya', 'tai', 'repeated'];['provider_name', 'product_name', 'sinyalnya', 'tai', 'repeated'];['provider_name', 'product_name', 'sinyalnya', 'tai', 'repeated'];provider_name product_name sinyalnya tai repeated;provider name product name sinyal tai repeated
26;0;Jaringan internet <PROVIDER_NAME> di sumba timur parah....;jaringan internet provider_name di sumba timur parah repeated;['jaringan', 'internet', 'provider_name', 'di', 'sumba', 'timur', 'parah', 'repeated'];['jaringan', 'internet', 'provider_name', 'di', 'sumba', 'timur', 'parah', 'repeated'];['jaringan', 'internet', 'provider_name', 'sumba', 'timur', 'parah', 'repeated'];jaringan internet provider_name sumba timur parah repeated;jaring internet provider name sumba timur parah repeated
27;0;Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>;dengan ajaib kuota hilang usage diberikan bahkan bukti penggunaan tidak melebihi batas allcaps url allcaps;['dengan', 'ajaib', 'kuota', 'hilang', 'usage', 'diberikan', 'bahkan', 'bukti', 'penggunaan', 'tidak', 'melebihi', 'batas', 'allcaps', 'url', 'allcaps'];['dengan', 'ajaib', 'kuota', 'hilang', 'usage', 'diberikan', 'bahkan', 'bukti', 'penggunaan', 'tidak', 'melebihi', 'batas', 'allcaps', 'url', 'allcaps'];['ajaib', 'kuota', 'hilang', 'usage', 'bukti', 'penggunaan', 'melebihi', 'batas', 'allcaps', 'url', 'allcaps'];ajaib kuota hilang usage bukti penggunaan melebihi batas allcaps url allcaps;ajaib kuota hilang usage bukti guna lebih batas allcaps url allcaps
28;0;"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan";bertahun tahun pakai provider_name masa aktif sampai number karena seringnya bayar untuk dapat pelayanan yang memuaskan;['bertahun', 'tahun', 'pakai', 'provider_name', 'masa', 'aktif', 'sampai', 'number', 'karena', 'seringnya', 'bayar', 'untuk', 'dapat', 'pelayanan', 'yang', 'memuaskan'];['bertahun', 'tahun', 'pakai', 'provider_name', 'masa', 'aktif', 'sampai', 'number', 'karena', 'seringnya', 'bayar', 'untuk', 'dapat', 'pelayanan', 'yang', 'memuaskan'];['bertahun', 'pakai', 'provider_name', 'aktif', 'number', 'bayar', 'pelayanan', 'memuaskan'];bertahun pakai provider_name aktif number bayar pelayanan memuaskan;tahun pakai provider name aktif number bayar layan muas
29;0;cepat banget data <PROVIDER_NAME> habis <URL>;cepat banget data provider_name habis allcaps url allcaps;['cepat', 'banget', 'data', 'provider_name', 'habis', 'allcaps', 'url', 'allcaps'];['cepat', 'banget', 'data', 'provider_name', 'habis', 'allcaps', 'url', 'allcaps'];['cepat', 'banget', 'data', 'provider_name', 'habis', 'allcaps', 'url', 'allcaps'];cepat banget data provider_name habis allcaps url allcaps;cepat banget data provider name habis allcaps url allcaps
30;0;<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ;user_mention apa gak kurang tolol namanya provider_name provider gak ada urusan sama semua chat app;['user_mention', 'apa', 'gak', 'kurang', 'tolol', 'namanya', 'provider_name', 'provider', 'gak', 'ada', 'urusan', 'sama', 'semua', 'chat', 'app'];['user_mention', 'apa', 'tidak', 'kurang', 'tolol', 'namanya', 'provider_name', 'provider', 'tidak', 'ada', 'urusan', 'sama', 'semua', 'chat', 'app'];['user_mention', 'tolol', 'namanya', 'provider_name', 'provider', 'urusan', 'chat', 'app'];user_mention tolol namanya provider_name provider urusan chat app;user mention tolol nama provider name provider urus chat app
31;0;mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>;mungkin provider_name benar berarti tinggal hashtag whatsapp not save hashtag allcaps url allcaps;['mungkin', 'provider_name', 'benar', 'berarti', 'tinggal', 'hashtag', 'whatsapp', 'not', 'save', 'hashtag', 'allcaps', 'url', 'allcaps'];['mungkin', 'provider_name', 'benar', 'berarti', 'tinggal', 'hashtag', 'whatsapp', 'not', 'save', 'hashtag', 'allcaps', 'url', 'allcaps'];['provider_name', 'tinggal', 'hashtag', 'whatsapp', 'not', 'save', 'hashtag', 'allcaps', 'url', 'allcaps'];provider_name tinggal hashtag whatsapp not save hashtag allcaps url allcaps;provider name tinggal hashtag whatsapp not save hashtag allcaps url allcaps
32;1;Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu;hore akhirnya ada sinyal 4 provider_name di sambu;['hore', 'akhirnya', 'ada', 'sinyal', '4', 'provider_name', 'di', 'sambu'];['hore', 'akhirnya', 'ada', 'sinyal', '4', 'provider_name', 'di', 'sambu'];['hore', 'sinyal', '4', 'provider_name', 'sambu'];hore sinyal 4 provider_name sambu;hore sinyal 4 provider name sambu
33;1;Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>;alhamdulilah dikunjungi para vendor mitra provider_name ke hashtag klinik kum sda hashtag allcaps url allcaps;['alhamdulilah', 'dikunjungi', 'para', 'vendor', 'mitra', 'provider_name', 'ke', 'hashtag', 'klinik', 'kum', 'sda', 'hashtag', 'allcaps', 'url', 'allcaps'];['syukur', 'dikunjungi', 'para', 'vendor', 'mitra', 'provider_name', 'ke', 'hashtag', 'klinik', 'kum', 'sda', 'hashtag', 'allcaps', 'url', 'allcaps'];['syukur', 'dikunjungi', 'vendor', 'mitra', 'provider_name', 'hashtag', 'klinik', 'kum', 'sda', 'hashtag', 'allcaps', 'url', 'allcaps'];syukur dikunjungi vendor mitra provider_name hashtag klinik kum sda hashtag allcaps url allcaps;syukur kunjung vendor mitra provider name hashtag klinik kum sda hashtag allcaps url allcaps
34;0;Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...;terlambat ikut product_name repeated jelaslah jaringan provider_name lemot repeated;['terlambat', 'ikut', 'product_name', 'repeated', 'jelaslah', 'jaringan', 'provider_name', 'lemot', 'repeated'];['terlambat', 'ikut', 'product_name', 'repeated', 'jelaslah', 'jaringan', 'provider_name', 'lemot', 'repeated'];['terlambat', 'product_name', 'repeated', 'jaringan', 'provider_name', 'lemot', 'repeated'];terlambat product_name repeated jaringan provider_name lemot repeated;lambat product name repeated jaring provider name lot repeated
