;Unnamed: 0;Sentiment;Text Tweet;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
19;19;negative;baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek.;baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek;['baik', 'kita', 'sudahi', 'saja', 'hidup', 'terlalu', 'singkat', 'untuk', 'dihabisken', 'dengan', 'menonton', 'film', 'jelek'];['baik', 'kita', 'sudahi', 'saja', 'hidup', 'terlalu', 'singkat', 'untuk', 'dihabisken', 'dengan', 'menonton', 'film', 'jelek'];baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek;baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek;baik sudah hidup terlalu singkat dihabisken tonton film jelek
20;20;negative;Film King Arthur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan.;film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan;['film', 'king', 'arthur', 'itu', 'tidak', 'jelek', 'namun', 'juga', 'tidak', 'bagus', 'biasa', 'saja', 'cenderung', 'mudah', 'dilupakan'];['film', 'king', 'arthur', 'itu', 'tidak', 'jelek', 'namun', 'juga', 'tidak', 'bagus', 'biasa', 'saja', 'cenderung', 'mudah', 'dilupakan'];film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan;film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan;film king arthur jelek juga tidak bagus biasa cenderung mudah lupa
21;21;negative;Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /ga ;jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga;['jelek', 'ah', 'jelek', 'pantas', 'film', 'dimension', 'tidak', 'pernah', 'dirilis', 'akting', 'kamu', 'begini', 'ternyata', 'ga'];['jelek', 'ah', 'jelek', 'pantas', 'film', 'dimension', 'tidak', 'pernah', 'dirilis', 'akting', 'kamu', 'begini', 'ternyata', 'ga'];jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga;jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga;jelek jelek pantas film dimension pernah rilis akting kamu begini nyata ga
22;22;negative;duh ini film ribet banget ...;duh ini film ribet banget;['duh', 'ini', 'film', 'ribet', 'banget'];['duh', 'ini', 'film', 'ribet', 'banget'];duh ini film ribet banget;duh ini film ribet banget;duh film ribet banget
23;23;negative;Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?;dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih;['dgn', 'durasi', 'film', 'yg', 'tll', 'panjang', 'alur', 'yg', 'datar', 'akhirnya', 'stlh', 'selesai', 'sy', 'keluar', 'dgn', 'pertanyaan', 'ini', 'masalahnya', 'apa', 'sih'];['dgn', 'durasi', 'film', 'yg', 'tll', 'panjang', 'alur', 'yg', 'datar', 'akhirnya', 'stlh', 'selesai', 'sy', 'keluar', 'dgn', 'pertanyaan', 'ini', 'masalahnya', 'apa', 'sih'];dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih;dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih;dgn durasi film tll panjang alur datar akhir stlh selesai sy keluar dgn tanya masalah apa
24;24;negative;Banyak adegan penting yang di potong, jadinya merusak film itu sendiri ;banyak adegan penting yang di potong jadinya merusak film itu sendiri;['banyak', 'adegan', 'penting', 'yang', 'di', 'potong', 'jadinya', 'merusak', 'film', 'itu', 'sendiri'];['banyak', 'adegan', 'penting', 'yang', 'di', 'potong', 'jadinya', 'merusak', 'film', 'itu', 'sendiri'];banyak adegan penting yang di potong jadinya merusak film itu sendiri;banyak adegan penting yang di potong jadinya merusak film itu sendiri;banyak adegan penting di potong jadi rusak film sendiri
25;25;negative;baru selesai nonton film GOAL 3, ternyata penurunan kualitas film nya drastis parah.;baru selesai nonton film goal   ternyata penurunan kualitas film nya drastis parah;['baru', 'selesai', 'nonton', 'film', 'goal', 'ternyata', 'penurunan', 'kualitas', 'film', 'nya', 'drastis', 'parah'];['baru', 'selesai', 'nonton', 'film', 'goal', 'ternyata', 'penurunan', 'kualitas', 'film', 'nya', 'drastis', 'parah'];baru selesai nonton film goal ternyata penurunan kualitas film nya drastis parah;baru selesai nonton film goal ternyata penurunan kualitas film nya drastis parah;baru selesai nonton film goal nyata turun kualitas film drastis parah
26;26;negative;Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton: Black Bulter;baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter;['baru', 'keingat', 'film', 'yang', 'cukup', 'beda', 'dengan', 'buku', 'sampai', 'bikin', 'kecewa', 'teman', 'yang', 'ngajak', 'nonton', 'black', 'bulter'];['baru', 'keingat', 'film', 'yang', 'cukup', 'beda', 'dengan', 'buku', 'sampai', 'bikin', 'kecewa', 'teman', 'yang', 'ngajak', 'nonton', 'black', 'bulter'];baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter;baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter;baru ingat film cukup beda buku bikin kecewa teman ngajak nonton black bulter
27;27;negative;ogah nonton lagi saya. Kecewa ama itu film ;ogah nonton lagi saya kecewa ama itu film;['ogah', 'nonton', 'lagi', 'saya', 'kecewa', 'ama', 'itu', 'film'];['ogah', 'nonton', 'lagi', 'saya', 'kecewa', 'ama', 'itu', 'film'];ogah nonton lagi saya kecewa ama itu film;ogah nonton lagi saya kecewa ama itu film;ogah nonton saya kecewa ama film
28;28;negative;Kecewa berat sama film Power Rangers, dibawah ekspektasi banget ;kecewa berat sama film power rangers dibawah ekspektasi banget;['kecewa', 'berat', 'sama', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget'];['kecewa', 'berat', 'sama', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget'];kecewa berat sama film power rangers dibawah ekspektasi banget;kecewa berat sama film power rangers dibawah ekspektasi banget;kecewa berat sama film power rangers bawah ekspektasi banget
29;29;negative;Bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;['bahas', 'soal', 'film', 'yang', 'diangkat', 'dari', 'novel', 'rasanya', 'kalo', 'di', 'bikin', 'film', 'kurang', 'puas', 'aja', 'gitu'];['bahas', 'soal', 'film', 'yang', 'diangkat', 'dari', 'novel', 'rasanya', 'kalo', 'di', 'bikin', 'film', 'kurang', 'puas', 'aja', 'gitu'];bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu;bahas soal film angkat novel rasa kalo bikin film kurang puas aja gitu
30;30;negative;Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.;sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat;['sebenernya', 'nggak', 'ada', 'yang', 'salah', 'sama', 'akting', 'prilly', 'di', 'film', 'danur', 'menurut', 'aku', 'oke', 'oke', 'aja', 'yang', 'kurang', 'greget', 'itu', 'ceritanya', 'sih', 'kurang', 'kuat'];['sebenernya', 'nggak', 'ada', 'yang', 'salah', 'sama', 'akting', 'prilly', 'di', 'film', 'danur', 'menurut', 'aku', 'oke', 'oke', 'aja', 'yang', 'kurang', 'greget', 'itu', 'ceritanya', 'sih', 'kurang', 'kuat'];sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat;sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat;sebenernya ada salah sama akting prilly film danur aku oke oke aja kurang greget cerita kurang kuat
31;31;negative;Tadi abis nonton film balap2 mobil itu,tertidur sekitar 15 menit. Entah lelah entah bosan.;tadi abis nonton film balap mobil itu tertidur sekitar   menit entah lelah entah bosan;['tadi', 'abis', 'nonton', 'film', 'balap', 'mobil', 'itu', 'tertidur', 'sekitar', 'menit', 'entah', 'lelah', 'entah', 'bosan'];['tadi', 'abis', 'nonton', 'film', 'balap', 'mobil', 'itu', 'tertidur', 'sekitar', 'menit', 'entah', 'lelah', 'entah', 'bosan'];tadi abis nonton film balap mobil itu tertidur sekitar menit entah lelah entah bosan;tadi abis nonton film balap mobil itu tertidur sekitar menit entah lelah entah bosan;tadi abis nonton film balap mobil tidur menit entah lelah entah bosan
32;32;negative;The mummy film yg terasa mulai aneh sejak pertengahan filmnya #mummy;the mummy film yg terasa mulai aneh sejak pertengahan filmnya;['the', 'mummy', 'film', 'yg', 'terasa', 'mulai', 'aneh', 'sejak', 'pertengahan', 'filmnya'];['the', 'mummy', 'film', 'yg', 'terasa', 'mulai', 'aneh', 'sejak', 'pertengahan', 'filmnya'];the mummy film yg terasa mulai aneh sejak pertengahan filmnya;the mummy film yg terasa mulai aneh sejak pertengahan filmnya;the mummy film asa mulai aneh sejak tengah film
33;33;negative;Memang malah kelihatan aneh kalau ada film besutan Marvel yang ga ada post-credit scene nya,kaya film yg habis saya tonton,#Logan.;memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada post credit scene nya kaya film yg habis saya tonton;['memang', 'malah', 'kelihatan', 'aneh', 'kalau', 'ada', 'film', 'besutan', 'marvel', 'yang', 'ga', 'ada', 'post', 'credit', 'scene', 'nya', 'kaya', 'film', 'yg', 'habis', 'saya', 'tonton'];['memang', 'malah', 'kelihatan', 'aneh', 'kalau', 'ada', 'film', 'besutan', 'marvel', 'yang', 'ga', 'ada', 'post', 'credit', 'scene', 'nya', 'kaya', 'film', 'yg', 'habis', 'saya', 'tonton'];memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada post credit scene nya kaya film yg habis saya tonton;memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada post credit scene nya kaya film yg habis saya tonton;memang malah lihat aneh kalau film besut marvel ga post credit scene kaya film habis tonton
34;34;negative;Film norak!!!! ;film norak;['film', 'norak'];['film', 'norak'];film norak;film norak;film norak
35;35;negative;adanya film critical eleven ini jadi merusak image Ale Anya di kepalaku :(;adanya film critical eleven ini jadi merusak image ale anya di kepalaku;['adanya', 'film', 'critical', 'eleven', 'ini', 'jadi', 'merusak', 'image', 'ale', 'anya', 'di', 'kepalaku'];['adanya', 'film', 'critical', 'eleven', 'ini', 'jadi', 'merusak', 'image', 'ale', 'anya', 'di', 'kepalaku'];adanya film critical eleven ini jadi merusak image ale anya di kepalaku;adanya film critical eleven ini jadi merusak image ale anya di kepalaku;ada film critical eleven jadi rusak image ale anya kepala
36;36;negative;#FactRica ~ kurang suka sama film-film romantis, karena endingnya pasti jadian;kurang suka sama film film romantis karena endingnya pasti jadian;['kurang', 'suka', 'sama', 'film', 'film', 'romantis', 'karena', 'endingnya', 'pasti', 'jadian'];['kurang', 'suka', 'sama', 'film', 'film', 'romantis', 'karena', 'endingnya', 'pasti', 'jadian'];kurang suka sama film film romantis karena endingnya pasti jadian;kurang suka sama film film romantis karena endingnya pasti jadian;kurang suka sama film film romantis endingnya jadi
37;37;negative;Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual;dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual;['dibalik', 'novel', 'yang', 'diangkat', 'jadi', 'film', 'terus', 'jadinya', 'kurang', 'sesungguhny', 'ada', 'campur', 'tangan', 'produser', 'yang', 'sok', 'tau', 'dengan', 'embel', 'lebih', 'menjual'];['dibalik', 'novel', 'yang', 'diangkat', 'jadi', 'film', 'terus', 'jadinya', 'kurang', 'sesungguhny', 'ada', 'campur', 'tangan', 'produser', 'yang', 'sok', 'tau', 'dengan', 'embel', 'lebih', 'menjual'];dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual;dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual;balik novel angkat jadi film terus jadi kurang sesungguhny campur tangan produser sok tau embel lebih jual
38;38;negative;karena ga respect kelakuan si dian sastro ...film itu jadi hambar.... ga bermutu...!!! ;karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu;['karena', 'ga', 'respect', 'kelakuan', 'si', 'dian', 'sastro', 'film', 'itu', 'jadi', 'hambar', 'ga', 'bermutu'];['karena', 'ga', 'respect', 'kelakuan', 'si', 'dian', 'sastro', 'film', 'itu', 'jadi', 'hambar', 'ga', 'bermutu'];karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu;karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu;ga respect laku si dian sastro film jadi hambar ga mutu
